method,total_episodes,success_count,success_rate,task_success_rate,safe_success_count,safe_success_rate,unsafe_violation_count,unsafe_violation_rate,unsafe_wall_collision_count,collision_count,fall_count,wall_contact_steps,casa_reject_count,reject_count,reject_rate_per_step,casa_replan_count,replan_count,rejected_candidate_skill_executed_count,policy_internal_guard_steps,stuck_count,stuck_rate,timeout_count,timeout_rate,mean_final_distance,median_final_distance,mean_shortest_path_progress,mean_executed_motion_skills,stop_fallback_ratio,policy_stop_count,last_resort_stop_count,stop_source_distribution,non_stop_recovery_count,non_stop_recovery_rate,fallback_to_stop_count,fallback_to_stop_rate,repeated_reject_loop_count,dmps_recovery_stuck_count,mean_post_reject_progress,median_post_reject_progress,positive_post_reject_progress_rate,stop_precision,stop_recall,premature_stop_rate,late_stop_rate,mean_stop_distance,action_distribution,recovery_action_distribution
vln_only,20,6,0.3,0.3,6,0.3,9,0.45,181,181,0,181,0,0,0.0,0,0,0,227,0,0.0,14,0.7,5.360700460649125,5.923811793894767,0.46526289682539684,45.45,0.19301801801801804,6,0,"{""policy_internal_guard"": 6}",0,0.0,0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,"{""backoff"": 178, ""forward"": 562, ""stop"": 6, ""turn_left"": 102, ""turn_right"": 67}",{}
vln_casa_reject_only,20,3,0.15,0.15,3,0.15,0,0.0,0,0,0,0,16,16,0.03940886699507389,0,0,0,41,0,0.0,1,0.05,6.558555211433446,8.00780488547035,0.36724206349206345,19.35,0.13236052377768964,3,16,"{""casa_reject_only_stop"": 16, ""policy_internal_guard"": 3}",0,0.0,0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,"{""backoff"": 0, ""forward"": 272, ""stop"": 19, ""turn_left"": 69, ""turn_right"": 46}",{}
vln_casa_replan,20,3,0.15,0.15,3,0.15,0,0.0,0,0,0,0,390,390,0.41755888650963596,390,390,0,344,0,0.0,17,0.85,6.40352396545435,7.288888259063617,0.4363651337959252,46.55,0.15286650286650286,3,0,"{""policy_internal_guard"": 3}",0,0.0,0,0.0,0,0,-0.007822327113404621,-0.0012152764702614994,0.3125,1.0,1.0,0.0,0.0,0.5,"{""backoff"": 143, ""forward"": 536, ""stop"": 3, ""turn_left"": 137, ""turn_right"": 115}","{""backoff"": 143, ""short_forward_segment"": 187, ""turn_left"": 21, ""turn_right"": 39}"
vln_dmps_mpc_cbf_progress,20,6,0.3,0.3,6,0.3,0,0.0,0,0,0,0,368,368,0.4021857923497268,368,368,0,395,0,0.0,14,0.7,5.385995864399459,5.920756343959436,0.46526289682539684,45.45,0.007601351351351352,6,0,"{""policy_internal_guard"": 6}",368,1.0,0,0.0,0,352,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,"{""backoff"": 0, ""forward"": 383, ""stop"": 6, ""turn_left"": 277, ""turn_right"": 249}","{""small_turn_left"": 172, ""small_turn_right"": 180, ""turn_left"": 11, ""turn_right"": 5}"
