method,total_episodes,success_count,success_rate,task_success_rate,safe_success_count,safe_success_rate,unsafe_violation_count,unsafe_violation_rate,unsafe_wall_collision_count,collision_count,fall_count,wall_contact_steps,casa_reject_count,reject_count,reject_rate_per_step,casa_replan_count,replan_count,rejected_candidate_skill_executed_count,policy_internal_guard_steps,stuck_count,stuck_rate,timeout_count,timeout_rate,mean_final_distance,median_final_distance,mean_shortest_path_progress,mean_executed_motion_skills,stop_fallback_ratio,policy_stop_count,last_resort_stop_count,stop_source_distribution,non_stop_recovery_count,non_stop_recovery_rate,fallback_to_stop_count,fallback_to_stop_rate,repeated_reject_loop_count,dmps_recovery_stuck_count,ppsr_v2_replan_count,ppsr_v3_replan_count,ppsr_v3_repeated_replan_count,ppsr_v4_replan_count,ppsr_v4_stop_verifier_applied_count,ppsr_v4_premature_stop_suppressed_count,ppsr_v4_late_stop_recovery_applied_count,ppsr_v4_third_step_executed_count,ppsr_v4_fourth_step_executed_count,ppsr_v2_hard_mask_count,escape_macro_selected_count,escape_macro_selected_rate,escape_macro_commitment_count,escape_macro_commitment_success_rate,turn_only_recovery_count,turn_only_recovery_rate,small_turn_recovery_count,small_turn_recovery_rate,post_reject_clearance_gain,post_reject_forward_reenabled_count,post_reject_forward_reenabled_rate,post_reject_forward_reenabled_rate_v2_compat,post_reject_unblocked_rate,post_reject_visual_novelty_rate,reject_to_policy_ready_count,reject_to_policy_ready_rate,next_vln_action_allowed_count,next_vln_action_allowed_rate,repeat_reject_count,repeat_reject_rate,loop_count,loop_rate,mean_steps_after_recovery_before_next_reject,post_reject_progress,landmark_retention_or_reacquisition_count,landmark_retention_or_reacquisition_rate,safety_stop_success_leakage_count,recovery_stop_success_leakage_count,mean_post_reject_progress,median_post_reject_progress,positive_post_reject_progress_rate,stop_precision,stop_recall,premature_stop_rate,late_stop_rate,mean_stop_distance,action_distribution,recovery_action_distribution
vln_only,50,20,0.4,0.4,20,0.4,30,0.6,2489,2489,0,2489,0,0,0.0,0,0,0,2607,0,0.0,30,0.6,5.371518978420891,6.944072577539991,0.3891495336033479,127.24,0.2845167025083851,20,0,"{""policy_internal_guard"": 20}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,"{""backoff"": 2483, ""forward"": 3389, ""stop"": 20, ""turn_left"": 264, ""turn_right"": 226}",{}
vln_dmps_mpc_cbf_progress,50,18,0.36,0.36,18,0.36,0,0.0,0,0,0,0,5265,5265,0.7932800964291096,5265,5265,0,5265,0,0.0,32,0.64,5.421069503176491,7.0439377792524684,0.3853493801620682,132.38,0.008195676122219483,18,0,"{""policy_internal_guard"": 18}",5265,1.0,0,0.0,0,5220,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,5262,0.9994301994301994,5211,0.9897435897435898,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,5186,0.9849952516619184,10482,1.990883190883191,3.9978166217407045,-1.455491270421938e-05,0,0.0,0,0,-1.455491270421938e-05,0.0,0.044444444444444446,1.0,0.9,0.0,0.04,0.49066661187477023,"{""backoff"": 3, ""forward"": 895, ""stop"": 18, ""turn_left"": 2869, ""turn_right"": 2852}","{""backoff"": 3, ""small_turn_left"": 2598, ""small_turn_right"": 2613, ""turn_left"": 29, ""turn_right"": 22}"
vln_ppsr_v3_task_return_replan,50,11,0.22,0.22,11,0.22,0,0.0,0,0,0,0,2043,2043,0.2834743998889968,2043,2043,0,4010,0,0.0,37,0.74,5.878416505301505,6.518749152258691,0.3735412231286942,143.88,0.15461452986141547,11,2,"{""policy_internal_guard"": 11, ""ppsr_v3_last_resort_stop"": 2}",2041,0.9990210474791973,2,0.0009789525208027412,0,1998,0,2043,1998,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.04398898039425262,2034,0.9955947136563876,0.0,1.0,0.9990210474791973,2039,0.9980420949583945,2039,0.9980420949583945,918,0.44933920704845814,0,0.0,2.688902264505592,-0.0056534535912634454,2043,1.0,0,0,-0.0056534535912634454,-0.0010446876043205223,0.4666666666666667,1.0,0.6470588235294118,0.0,0.12,0.4084967246073894,"{""backoff"": 1252, ""forward"": 3396, ""stop"": 13, ""turn_left"": 1083, ""turn_right"": 1463}","{""backoff"": 1252, ""open_space_seek"": 10, ""stop_as_last_resort"": 2, ""target_reacquire_turn_left"": 302, ""target_reacquire_turn_right"": 194, ""wall_follow_left"": 130, ""wall_follow_right"": 135, ""wide_arc_left"": 15, ""wide_arc_right"": 3}"
vln_ppsr_v4_zero_unsafe_success60,50,30,0.6,0.6,30,0.6,0,0.0,0,0,0,0,1561,1561,0.2785510349750178,1561,1561,0,2984,0,0.0,19,0.38,3.0574062413062046,0.6729312166467253,0.6602594051175233,111.46,0.028284259121486785,31,0,"{""policy_internal_guard"": 31}",1561,1.0,0,0.0,0,1517,0,1561,1517,1561,17,0,12,1253,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0633391268058961,1554,0.9955156950672646,0.0,1.0,1.0,1560,0.9993593850096092,1560,0.9993593850096092,660,0.4228058936579116,120,0.07687379884689302,2.3010322903835974,0.005326326050080112,1561,1.0,0,0,0.005326326050080112,0.011415136257299847,0.5681818181818182,0.967741935483871,1.0,0.02,0.0,0.5828387123478013,"{""backoff"": 126, ""forward"": 2901, ""stop"": 31, ""turn_left"": 1226, ""turn_right"": 1320}","{""backoff"": 126, ""open_space_seek"": 108, ""target_reacquire_turn_left"": 548, ""target_reacquire_turn_right"": 513, ""wall_follow_left"": 144, ""wall_follow_right"": 115, ""wide_arc_left"": 1, ""wide_arc_right"": 6}"
