method,total_episodes,success_count,success_rate,task_success_rate,safe_success_count,safe_success_rate,unsafe_violation_count,unsafe_violation_rate,collision_count,fall_count,wall_contact_steps,reject_count,reject_rate_per_step,replan_count,safety_filter_intervention_count,safety_filter_intervention_rate,safety_filter_reject_count,safety_filter_replan_count,safety_filter_fallback_count,fallback_count,fallback_rate_per_step,timeout_count,timeout_rate,missing_policy_stop_count,mean_final_distance,median_final_distance,mean_shortest_path_progress,average_steps_per_episode,mean_executed_motion_skills,policy_stop_count,stop_precision,stop_recall,premature_stop_rate,late_stop_rate,mean_stop_distance,action_distribution,recovery_action_distribution
mpc_cbf_humanoid_adapted,50,18,0.36,0.36,18,0.36,0,0.0,0,0,0,4584,0.6910900045228403,4584,4584,0.6910900045228403,4584,4584,18,18,0.0027137042062415195,32,0.64,32,5.163916637778664,6.279161884855682,0.3902674351158714,132.66,132.3,18,1.0,1.0,0.0,0.0,0.5,"{""backoff"": 250, ""forward"": 1193, ""stop"": 18, ""turn_left"": 2591, ""turn_right"": 2581}","{""backoff"": 250, ""short_forward"": 71, ""turn_left"": 2215, ""turn_right"": 2047, ""wall_follow_right"": 1}"
safedpa_adapted,50,18,0.36,0.36,18,0.36,0,0.0,0,0,0,5202,0.7842605156037992,0,5202,0.7842605156037992,5202,0,18,18,0.0027137042062415195,32,0.64,32,5.538952492508803,7.022718608415598,0.3501277284736991,132.66,132.3,18,1.0,1.0,0.0,0.0,0.5,"{""backoff"": 40, ""forward"": 960, ""stop"": 18, ""turn_left"": 2828, ""turn_right"": 2787}","{""backoff"": 40, ""open_space_seek"": 4, ""short_forward"": 69, ""turn_left"": 2547, ""turn_right"": 2542}"
spark_style_filter_adapted,50,18,0.36,0.36,18,0.36,0,0.0,0,0,0,4712,0.7103874566561134,4712,4712,0.7103874566561134,4712,4712,159,159,0.02397105382180009,32,0.64,32,5.407579622148498,7.133263896921958,0.3502712842712843,132.66,132.3,18,1.0,1.0,0.0,0.0,0.5,"{""backoff"": 141, ""forward"": 1309, ""stop"": 18, ""turn_left"": 2588, ""turn_right"": 2577}","{""backoff"": 141, ""open_space_seek"": 137, ""turn_left"": 2167, ""turn_right"": 2115, ""wall_follow_left"": 63, ""wall_follow_right"": 87, ""wide_arc_right"": 2}"
