method,total_episodes,success_count,success_rate,task_success_rate,safe_success_count,safe_success_rate,unsafe_violation_count,unsafe_violation_rate,unsafe_wall_collision_count,collision_count,fall_count,wall_contact_steps,casa_reject_count,reject_count,reject_rate_per_step,casa_replan_count,replan_count,rejected_candidate_skill_executed_count,policy_internal_guard_steps,stuck_count,stuck_rate,timeout_count,timeout_rate,mean_final_distance,median_final_distance,mean_shortest_path_progress,mean_executed_motion_skills,stop_fallback_ratio,policy_stop_count,last_resort_stop_count,stop_source_distribution,non_stop_recovery_count,non_stop_recovery_rate,fallback_to_stop_count,fallback_to_stop_rate,repeated_reject_loop_count,dmps_recovery_stuck_count,ppsr_v2_replan_count,ppsr_v3_replan_count,ppsr_v3_repeated_replan_count,ppsr_v4_replan_count,ppsr_v4_stop_verifier_applied_count,ppsr_v4_premature_stop_suppressed_count,ppsr_v4_late_stop_recovery_applied_count,ppsr_v4_third_step_executed_count,ppsr_v4_fourth_step_executed_count,ppsr_v2_hard_mask_count,escape_macro_selected_count,escape_macro_selected_rate,escape_macro_commitment_count,escape_macro_commitment_success_rate,turn_only_recovery_count,turn_only_recovery_rate,small_turn_recovery_count,small_turn_recovery_rate,post_reject_clearance_gain,post_reject_forward_reenabled_count,post_reject_forward_reenabled_rate,post_reject_forward_reenabled_rate_v2_compat,post_reject_unblocked_rate,post_reject_visual_novelty_rate,reject_to_policy_ready_count,reject_to_policy_ready_rate,next_vln_action_allowed_count,next_vln_action_allowed_rate,repeat_reject_count,repeat_reject_rate,loop_count,loop_rate,mean_steps_after_recovery_before_next_reject,post_reject_progress,landmark_retention_or_reacquisition_count,landmark_retention_or_reacquisition_rate,safety_stop_success_leakage_count,recovery_stop_success_leakage_count,mean_post_reject_progress,median_post_reject_progress,positive_post_reject_progress_rate,stop_precision,stop_recall,premature_stop_rate,late_stop_rate,mean_stop_distance,action_distribution,recovery_action_distribution,artifact_source,artifact_source_dir,ppsr_v4_stop_verifier_bypassed_count,ppsr_v4_late_stop_recovery_candidate_count,ppsr_v4_late_stop_recovery_disabled_count,ppsr_v4_visual_goal_tracker_candidate_count,ppsr_v4_visual_goal_tracker_disabled_count,ppsr_v4_visual_goal_tracker_applied_count,ppsr_v4_task_return_replan_applied_count,ppsr_v4_task_return_replan_disabled_count
vln_ppsr_v4_zero_unsafe_success60,50,30,0.6,0.6,30,0.6,0,0.0,0,0,0,0,1561,1561,0.2785510349750178,1561,1561,0,2984,0,0.0,19,0.38,3.0574062413062046,0.6729312166467253,0.6602594051175233,111.46,0.028284259121486785,31,0,"{""policy_internal_guard"": 31}",1561,1.0,0,0.0,0,1517,0,1561,1517,1561,17,0,12,1253,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0633391268058961,1554,0.9955156950672646,0.0,1.0,1.0,1560,0.9993593850096092,1560,0.9993593850096092,660,0.4228058936579116,120,0.07687379884689302,2.3010322903835974,0.005326326050080112,1561,1.0,0,0,0.005326326050080112,0.011415136257299847,0.5681818181818182,0.967741935483871,1.0,0.02,0.0,0.5828387123478013,"{""backoff"": 126, ""forward"": 2901, ""stop"": 31, ""turn_left"": 1226, ""turn_right"": 1320}","{""backoff"": 126, ""open_space_seek"": 108, ""target_reacquire_turn_left"": 548, ""target_reacquire_turn_right"": 513, ""wall_follow_left"": 144, ""wall_follow_right"": 115, ""wide_arc_left"": 1, ""wide_arc_right"": 6}",reused_full_anchor,/mnt/data/students/lph/recording/vln_ppsr_v4_zero_unsafe_success60_20260621_locked_attempt04_lowratio_memory_seed260614,,,,,,,,
vln_ppsr_v4_ablate_no_stop_verifier,50,23,0.46,0.46,23,0.46,0,0.0,0,0,0,0,1596,1596,0.25470794765400573,1596,1596,0,3644,0,0.0,27,0.54,4.259781477998746,3.8806211910111053,0.49868782270369894,124.86,0.027465087741317475,23,0,"{""policy_internal_guard"": 23}",1596,1.0,0,0.0,0,1552,0,1596,1552,1596,0,0,0,1303,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.06247202201331839,1587,0.9943609022556391,0.0,1.0,1.0,1596,1.0,1596,1.0,576,0.3609022556390977,134,0.08395989974937343,2.5890309977368937,0.00653876712826093,1596,1.0,0,0,0.00653876712826093,0.008033967707102158,0.5909090909090909,1.0,0.8518518518518519,0.0,0.08,0.4287978231376495,"{""backoff"": 147, ""forward"": 3068, ""stop"": 23, ""turn_left"": 1417, ""turn_right"": 1611}","{""backoff"": 147, ""open_space_seek"": 102, ""target_reacquire_turn_left"": 546, ""target_reacquire_turn_right"": 558, ""wall_follow_left"": 107, ""wall_follow_right"": 129, ""wide_arc_left"": 1, ""wide_arc_right"": 6}",ablation_run,/mnt/data/students/lph/recording/vln_ppsr_v4_ablation_20260622_212354,6266,0,0,0,0,0,1596,0
vln_ppsr_v4_ablate_no_late_stop_recovery,50,30,0.6,0.6,30,0.6,0,0.0,0,0,0,0,1593,1593,0.27762286510979434,1593,1593,0,3041,0,0.0,20,0.4,3.1688132179487187,0.6678786766122675,0.6485462671535962,114.16,0.0283322828725652,30,0,"{""policy_internal_guard"": 30}",1593,1.0,0,0.0,0,1549,0,1593,1549,1593,15,0,0,1272,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.06285845075813307,1586,0.9956057752667922,0.0,1.0,1.0,1592,0.9993722536095417,1592,0.9993722536095417,679,0.42623979912115506,152,0.09541745134965474,2.316421430229259,0.003718250906566077,1593,1.0,0,0,0.003718250906566077,0.011415136257299847,0.5681818181818182,1.0,0.967741935483871,0.0,0.02,0.5598372333769727,"{""backoff"": 136, ""forward"": 2987, ""stop"": 30, ""turn_left"": 1241, ""turn_right"": 1344}","{""backoff"": 136, ""open_space_seek"": 111, ""target_reacquire_turn_left"": 552, ""target_reacquire_turn_right"": 520, ""wall_follow_left"": 144, ""wall_follow_right"": 123, ""wide_arc_left"": 1, ""wide_arc_right"": 6}",ablation_run,/mnt/data/students/lph/recording/vln_ppsr_v4_ablation_20260622_212354,0,23,23,198,0,171,1593,0
vln_ppsr_v4_ablate_no_visual_goal_tracker,50,30,0.6,0.6,30,0.6,0,0.0,0,0,0,0,1647,1647,0.2932170197614385,1647,1647,0,2838,0,0.0,19,0.38,3.4570442716962884,0.6729312166467253,0.6336311056201155,111.72,0.029473675494879902,31,0,"{""policy_internal_guard"": 31}",1647,1.0,0,0.0,0,1603,0,1647,1603,1647,18,0,21,1307,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.06109185085443481,1641,0.9963570127504554,0.0,1.0,1.0,1647,1.0,1647,1.0,706,0.4286581663630844,120,0.07285974499089254,2.2276283363163367,0.0042322435274506735,1647,1.0,0,0,0.0042322435274506735,0.008033681383278314,0.5681818181818182,0.967741935483871,1.0,0.02,0.0,0.5898236302812897,"{""backoff"": 137, ""forward"": 2976, ""stop"": 31, ""turn_left"": 1190, ""turn_right"": 1283}","{""backoff"": 137, ""open_space_seek"": 142, ""target_reacquire_turn_left"": 552, ""target_reacquire_turn_right"": 517, ""wall_follow_left"": 169, ""wall_follow_right"": 123, ""wide_arc_left"": 1, ""wide_arc_right"": 6}",ablation_run,/mnt/data/students/lph/recording/vln_ppsr_v4_ablation_20260622_212354,0,21,0,103,103,0,1647,0
vln_ppsr_v4_ablate_no_task_return_replan,50,18,0.36,0.36,18,0.36,0,0.0,0,0,0,0,5239,5239,0.7917485265225933,5239,5239,0,5083,0,0.0,32,0.64,5.197964488106532,5.836870445633828,0.4084217969990782,131.98,0.007986025241858473,18,0,"{""policy_internal_guard"": 18}",5239,1.0,0,0.0,0,5195,0,0,0,0,2,0,10,0,0,0,0,0.0,0,0.0,5239,1.0,5198,0.9921740790227143,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,5179,0.9885474327161672,10434,1.9916014506585227,2.2774808869709973,0.0,0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.49559679322720196,"{""backoff"": 0, ""forward"": 923, ""stop"": 18, ""turn_left"": 2870, ""turn_right"": 2806}","{""small_turn_left"": 2588, ""small_turn_right"": 2610, ""turn_left"": 26, ""turn_right"": 15}",ablation_run,/mnt/data/students/lph/recording/vln_ppsr_v4_ablation_20260622_212354,0,10,0,0,0,0,0,5239
